intent;utterance
car_rental.larger_vehicle;test
car_rental.larger_vehicle;no need to show me the tiny cars i need a real one
car_rental.larger_vehicle;it sounds cramped and uncomfy show me something larger
car_rental.larger_vehicle;i want a biger car for this trip
car_rental.larger_vehicle;show me real big cars
car_rental.larger_vehicle;upgrade it to suv?
car_rental.larger_vehicle;i'll be traveling with  two  dogs need something more spacious
car_rental.larger_vehicle;it won't suffice for my big family
car_rental.larger_vehicle;do you have trucks or something bigger
car_rental.larger_vehicle;bigger car?
car_rental.larger_vehicle;i dont think we will fit, anything else?
car_rental.larger_vehicle;anything for 4 plus people?
car_rental.larger_vehicle;i need to fit my family, there are 6 of us. anything that can fit us?
car_rental.larger_vehicle;can i get something that fits more people?
car_rental.larger_vehicle;can i get an SUV?
car_rental.larger_vehicle;can i get a van?
car_rental.larger_vehicle;anything with more legroom?
car_rental.larger_vehicle;is there a bigger option?
car_rental.larger_vehicle;anything larger?
car_rental.larger_vehicle;need more room
car_rental.larger_vehicle;can i get an suv?
car_rental.larger_vehicle;something that fits more like a van?
car_rental.larger_vehicle;what about a van or suv?
car_rental.larger_vehicle;is there anything that fits more people?
car_rental.larger_vehicle;is there anything bigger?
car_rental.compare_cost_luxury;i don't know whic of the high end cars to choose
car_rental.compare_cost_luxury;more details about expnsive cars
car_rental.compare_cost_luxury;tell me about the  two  lxuury cars
car_rental.compare_cost_luxury;which of the  first  class options is better
car_rental.compare_cost_luxury;price difference between  two first -class cars
car_rental.compare_cost_luxury;which one of the expensive is cheaper
car_rental.compare_cost_luxury;what's the diference between expensive options
car_rental.compare_cost_luxury;is there a difference in price between  two  luxury options
car_rental.compare_cost_luxury;which is least expensive?
car_rental.compare_cost_luxury;which is cheaper?
car_rental.compare_cost_luxury;is the luxury option crazy expensive?
car_rental.compare_cost_luxury;how much. more for luxury?
car_rental.compare_cost_luxury;how much more expensive is the chevy?
car_rental.compare_cost_luxury;how much more is the dodge?
car_rental.compare_cost_luxury;how much more for the tahoe?
car_rental.compare_cost_luxury;how much more for the charger?
car_rental.compare_cost_luxury;if the dodge charger isnt super expensive i might rent that, whats the difference?
car_rental.compare_cost_luxury;if the tahoe isnt a ton more i might go with the luxury option, how much are we talking?
car_rental.compare_cost_luxury;how much more is the chevy tahoe?
car_rental.compare_cost_luxury;how much more is the dodge charger?
car_rental.compare_cost_luxury;will the dodge charger cost way more?
car_rental.compare_cost_luxury;is the luxury option way more money?
car_rental.compare_cost_luxury;is the luxury option super expensive?
car_rental.compare_cost_luxury;how much more?
car_rental.compare_cost_luxury;how much more is the luxury option ?
car_rental.compare_cost_luxury;is there anything with leather seats 
car_rental.compare_cost_luxury;is there anything nicer?
car_rental.economy_option;oo those sound expensive. is there anything more cost effective?
car_rental.economy_option;i like it but it's over the top in terms of pricing for me
car_rental.economy_option;that's too high end for me
car_rental.economy_option;it's way out of my budget for the trip
car_rental.economy_option;this price is way too high
car_rental.economy_option;i'm not ready to pay that much
car_rental.economy_option;something smaller?
car_rental.economy_option;are there other options, maybe something cheaper?
car_rental.economy_option;anything more affordable?
car_rental.economy_option;anything less?
car_rental.economy_option;cheaper?
car_rental.economy_option;is there something more economical?
car_rental.economy_option;is there an economy option?
car_rental.economy_option;i dont need anything fancy, what are my options?
car_rental.economy_option;anything more cost effective ?
car_rental.economy_option;is there anything with better milage?
car_rental.economy_option;i dont want to spend that much, whats less?
car_rental.economy_option;is there something basic?
car_rental.economy_option;Is there a discounted option?
car_rental.economy_option;is there anything for less?
car_rental.economy_option;Is there something cheapeer?
car_rental.reservation_create;test
car_rental.reservation_create;what about cars, can i resrve something now?
car_rental.reservation_create;do you have any  trucks  a can reserve
car_rental.reservation_create;help me find a  cheap  ride for my trip
car_rental.reservation_create;i need to retn an  suv
car_rental.reservation_create;i need to reserve a van for later  today
car_rental.reservation_create;rent a van
car_rental.reservation_create;im driving cross country and need to rent a van
car_rental.reservation_create;i need help booking an  SUV
car_rental.reservation_create;i need to rent an  SUV  in  San Diego
car_rental.reservation_create;i want to rent a  truck
car_rental.reservation_create;i need to rent a  truck  for  sunday , can you help me?
car_rental.reservation_create;can i get a car for next week?
car_rental.reservation_create;can i get a car for the weekend
car_rental.reservation_create;Hi, im traveling to  LA  for the weekend and i need to rent a car while i'm down there
car_rental.reservation_create;Hi im trying to rent a car for  tomorrow
