intent;utterance
healthcare.initialize_benefits;How much do I have to pay before I have coverage
healthcare.initialize_benefits;assist me with understanding my benefits in this plan
healthcare.initialize_benefits;What benefits are covered under my plan?
healthcare.initialize_benefits;How much do I have to spend before I have coverage
healthcare.initialize_benefits;How close am I to meeting my deductible
healthcare.initialize_benefits;what are the benefits of my plan?
healthcare.initialize_benefits;Please help me understand the benefits of my healthcare plan
healthcare.initialize_benefits;I am sligntly confused about my healthcare benefits
healthcare.initialize_benefits;I am confused about my health benefits
healthcare.initialize_benefits;Am I covered for this doctor's visit
healthcare.initialize_benefits;Can you also help me understand my benefits
healthcare.initialize_benefits;Can you tell me about my benefits?
healthcare.initialize_benefits;Can you help me with my benefits
healthcare.initialize_benefits;health benefits info
healthcare.initialize_benefits;hey bot can you help me know about my health benefits
healthcare.initialize_benefits;give me information about my health benefits
healthcare.initialize_benefits;can you help me know about health benefits
healthcare.initialize_benefits;let me know about my health benefits
healthcare.initialize_benefits;brief me about my health benefits
healthcare.initialize_benefits;information about my health benefits
healthcare.initialize_benefits;tell me more about my health benefits
healthcare.initialize_benefits;what are my health benefits
healthcare.initialize_benefits;Hi, what are my benefits
healthcare.initialize_benefits;what are my benefits
healthcare.initialize_benefits;my benefits
healthcare.symptoms;I am not feeling well
healthcare.symptoms;I don't feel too well
healthcare.symptoms;I'm having a nervous  breakdown
healthcare.symptoms;I have a  toothache
healthcare.symptoms;I'm feeling  nervous
healthcare.symptoms;I have high fever, what should I do?
healthcare.symptoms;I feel weird
healthcare.symptoms;I'm feeling  nauseaus
healthcare.symptoms;I have trouble  sleeping
healthcare.symptoms;I'm having trouble  breathing
healthcare.symptoms;I think I am falling ill
healthcare.symptoms;I'm  exhausted
healthcare.symptoms;I feel sick
healthcare.symptoms;my back hurts, what should I do
healthcare.symptoms;I have sprained my ankle
healthcare.symptoms;my eyes are  watery
healthcare.symptoms;I have body pain, any  suggestions
healthcare.symptoms;I think, I have a stomach upset
healthcare.symptoms;I am feeling pukish, what should I do?
healthcare.symptoms;My stomach hurts, what do I do?
healthcare.symptoms;I lost the sense of smell, Is it a symptom for COVID?
healthcare.symptoms;I have cold and cough, what are the chances of  me  getting COVID?
healthcare.symptoms;I'm feeling weak, Do I have COVID?
healthcare.symptoms;I'm feeling weak, am I falling sick?
healthcare.symptoms;I feel tired
healthcare.symptoms;I think, I am sick
healthcare.symptoms;I think I am falling sick
healthcare.symptoms;I am not feeling okay
healthcare.symptoms;I am feeling ditzy
healthcare.symptoms;I'm having a  headache
healthcare.symptoms;i want to know if I have COVID?
healthcare.symptoms;What are the symptoms of COVID-19?
healthcare.symptoms;I have got cold, do I have COVID-19?
healthcare.symptoms;I think I have fever
healthcare.symptoms;I am  unwell
healthcare.faq_out_of_pocket_maximums;can i find information on out of pocket maximum
healthcare.faq_out_of_pocket_maximums;what is the meaning of the term out of the pocket maximum
healthcare.faq_out_of_pocket_maximums;Can you please define out of the pocket maximum
healthcare.faq_out_of_pocket_maximums;Define out of the pocket maximum
healthcare.faq_out_of_pocket_maximums;Explain the term out of the pocket maximum
healthcare.faq_out_of_pocket_maximums;Please explain what out of the pocket maximum means
healthcare.faq_out_of_pocket_maximums;Can you explain what out of the pocket maximum is
healthcare.faq_out_of_pocket_maximums;what do you mean by out of the pocket maximum
healthcare.faq_out_of_pocket_maximums;what is out of the pocket maximum
healthcare.faq_out_of_pocket_maximums;out of pocket maximum definition
healthcare.faq_out_of_pocket_maximums;define out of pocket maximum
healthcare.faq_out_of_pocket_maximums;define out of pocket maximums
healthcare.faq_out_of_pocket_maximums;define out of pocket max
healthcare.faq_out_of_pocket_maximums;I don't know what's out of pocket maximum
healthcare.faq_out_of_pocket_maximums;tell  me  the  maximum  amount i need to pay for  covered services
healthcare.faq_out_of_pocket_maximums;what is the  maximum  amount you will pay for  covered services  in a given year.
