intent;utterance
retail.edit_shipping_address_initiate;I placed an order for a Chromecast and need to change the address
retail.edit_shipping_address_initiate;I bought a  Chromecast  but it's going to the wrong place
retail.edit_shipping_address_initiate;I made a mistake in placing my order for a  Pixel 5
retail.edit_shipping_address_initiate;I accidentally sent the  Nest thermostat  order to my office
retail.edit_shipping_address_initiate;I accidentally sent my  Google home  order to the wrong apartment
retail.edit_shipping_address_initiate;I purchased a  Pixel 5  but it's going to my office instead of my house
retail.edit_shipping_address_initiate;I bought a  Stadia controller  but it's going to my old address
retail.edit_shipping_address_initiate;My order is going to the wrong address and I need to change it
retail.edit_shipping_address_initiate;I need to redirect an order to a new address
retail.edit_shipping_address_initiate;Could I change the address for my  Google Home  order
retail.edit_shipping_address_initiate;I need to make edits to the address I used in an order
retail.edit_shipping_address_initiate;Can I edit the address on my order
retail.edit_shipping_address_initiate;I need to fix the address on my order
retail.edit_shipping_address_initiate;I made a mistake in the address for my  Pixel 5  order
retail.edit_shipping_address_initiate;I ordered a  nest thermostat  but made a mistake in the shipping address
retail.edit_shipping_address_initiate;I made a mistake with the shipping address for my  Google Home
retail.edit_shipping_address_initiate;I messed up my  Stadia Controller  order and need to change the address
retail.edit_shipping_address_initiate;I need to send my  Pixel 5  order somewhere else
retail.edit_shipping_address_initiate;I used the wrong shipping address can I change it
retail.edit_shipping_address_initiate;I made a mistake and put the wrong shipping address for my purchase
retail.edit_shipping_address_initiate;I made a purchase but I messed up and put the wrong address
retail.edit_shipping_address_initiate;Can you help me change the address for an order I made
retail.edit_shipping_address_initiate;I made a mistake and put the wrong address in my order
retail.edit_shipping_address_initiate;I bought something but I used the wrong address
retail.edit_shipping_address_initiate;I purchased something but it's going to my old address
retail.edit_shipping_address_initiate;I need to update the address for my most recent order
retail.edit_shipping_address_initiate;I placed an order but put in the wrong address
retail.edit_shipping_address_initiate;I need to change the address for the  phone  i bought
retail.edit_shipping_address_initiate;the email i got had a different shipping address
retail.edit_shipping_address_initiate;the confirmation email had the wrong shipping address
retail.edit_shipping_address_initiate;the  nest  i bought is going to the wrong place
retail.edit_shipping_address_initiate;I made a mistake in my street address can you help
retail.edit_shipping_address_initiate;I used the wrong address for my order
retail.edit_shipping_address_initiate;can i update the street name for man order i placed
retail.edit_shipping_address_initiate;gave the wrong city name for my order
retail.edit_shipping_address_initiate;inputted the wrong street name for my order
retail.edit_shipping_address_initiate;ordered the  pixel  to the wrong address
retail.edit_shipping_address_initiate;sent the  google home  to the wrong address
retail.edit_shipping_address_initiate;accidentally gave the wrong address for the  stadia  controller
retail.edit_shipping_address_initiate;my  nest thermostat  is going to the wrong location
retail.edit_shipping_address_initiate;shipped my  pixel 5  to the wrong address, can i update it
retail.edit_shipping_address_initiate;made a mistake with the shipping address, can i update it
retail.edit_shipping_address_initiate;i just placed an order and would like to change the address
retail.edit_shipping_address_initiate;can i update the address for an order
retail.edit_shipping_address_initiate;i want to change the address i sent an item to
retail.edit_shipping_address_initiate;is it possible to change the address for an order
retail.edit_shipping_address_initiate;can you help me change the shipping address for an order
retail.edit_shipping_address_initiate;I would like edit the shipping address of an item
retail.edit_shipping_address_initiate;i would like to change the shipping address on an order
retail.edit_shipping_address_initiate;I accidentally shipped something to the wrong place can i update the address
retail.edit_shipping_address_initiate;Accidentally ordered something to the wrong address can I update it
retail.return_order_initiate;the package arrived late i want to return it
retail.return_order_initiate;i would like to request a refund for the  google home
retail.return_order_initiate;can i get a refund for a device that arrived broken
retail.return_order_initiate;can i return a device if i haven't opened it
retail.return_order_initiate;i want to return a device i got  today  i haven't opened it
retail.return_order_initiate;i just got this device in the mail  today  and want to return it
retail.return_order_initiate;i would like to return an item that i ordered
retail.return_order_initiate;i just came here to see if i can return a device
retail.return_order_initiate;please can you just help me process a refund
retail.return_order_initiate;i want to initiate a refund for the  google home
retail.return_order_initiate;my  phone  is broken i need a refund
retail.return_order_initiate;i just want my  nest thermostat  refunded
retail.return_order_initiate;can you just help me get a refund please
retail.return_order_initiate;i just want to return my  phone
retail.return_order_initiate;trying to return something
retail.return_order_initiate;need to return my  pixel 5  for a refund
