intent;utterance
credit_card.replace_card;Can I get a new card, my one is damaged
credit_card.replace_card;My credit card is lost, I need a replacement
credit_card.replace_card;Replace my lost card
credit_card.replace_card;replace a damaged card
credit_card.replace_card;my card is damaged and I need a new one
credit_card.replace_card;I lost my card, can I get a replacement
credit_card.replace_card;Can I get my card replaced
credit_card.replace_card;Card replacement
credit_card.replace_card;I need to replace my credit card
credit_card.replace_card;Can you send me a new credit card
credit_card.replace_card;Please send a new credit card
credit_card.replace_card;I need to be sent a new card
credit_card.replace_card;Can you replace my card
credit_card.replace_card;Send me a new card
credit_card.replace_card;Can you send me a new card
credit_card.replace_card;Can I get a new card
credit_card.replace_card;Can I get a card replacement
credit_card.replace_card;New credit card
credit_card.replace_card;Need to replace my credit card
credit_card.replace_card;Need to replace card
credit_card.replace_card;I need a new credit card
credit_card.replace_card;Replace my card
credit_card.replace_card;New card
credit_card.replace_card;I need to replace my card
credit_card.replace_card;I need a new card
credit_card.recurring_transactions;What happens to my existing recurring payments
credit_card.recurring_transactions;I have monthly subscriptions, will they need changed
credit_card.recurring_transactions;What about my annual subscriptions
credit_card.recurring_transactions;I have annual payments set up, will they be affected
credit_card.recurring_transactions;I have monthly bills coming off this card
credit_card.recurring_transactions;Will my regular payments be affected
credit_card.recurring_transactions;Do I need to do anything about my monthly subscriptions
credit_card.recurring_transactions;Will this affect my subscription to Netflix
credit_card.recurring_transactions;Does this affect my recurring payments
credit_card.recurring_transactions;Will my recurring payments still go through
credit_card.recurring_transactions;I have regular outgoings from that card
credit_card.recurring_transactions;I have monthly payments set up, will they still be paid
credit_card.recurring_transactions;will this affect my regular payments
credit_card.recurring_transactions;what about my regular payments
credit_card.recurring_transactions;will my gym payment still go through
credit_card.recurring_transactions;what about my gym membership
credit_card.recurring_transactions;I pay for streaming with that card
credit_card.recurring_transactions;I have monthly subscriptions on this card
credit_card.recurring_transactions;will my netflix still be paid
credit_card.recurring_transactions;will my cell phone bill still be paid
credit_card.recurring_transactions;I have monthly subscriptions, will those be paid
credit_card.recurring_transactions;what about my subscription
credit_card.recurring_transactions;what about my monthly bills
credit_card.recurring_transactions;will my monthly transactions still be paid
credit_card.recurring_transactions;will my recurring payments still happen
loan_application.timelines;How long do I need to wait
loan_application.timelines;Do you know how long this will take
loan_application.timelines;what date will I hear by
loan_application.timelines;Will I hear in  the next few days
loan_application.timelines;Is there a deadline for the decision
loan_application.timelines;How long does it take on average
loan_application.timelines;will I be told when?
loan_application.timelines;When will I hear?
loan_application.timelines;will it take much longer
loan_application.timelines;give me some idea of timing please
loan_application.timelines;and when will this be?
loan_application.timelines;when can I expect to hear back?
loan_application.timelines;what's the timing for approval?
loan_application.timelines;when will the loan be approved?
loan_application.timelines;when will it be approved?
loan_application.timelines;when can I get a decision?
loan_application.timelines;when will this be?
loan_application.timelines;Can you give me an idea of duration?
loan_application.timelines;how much longer?
loan_application.timelines;can you give me a date when it is done?
loan_application.timelines;when can I expect the money?
loan_application.timelines;is it going to take much longer?
loan_application.timelines;How long will it take
loan_application.timelines;When will you make a decision
loan_application.timelines;Do you have a sense for when it might be done?
credit_card.card_shipping;can you send my new card asap
credit_card.card_shipping;when will my new credit card be mailed
credit_card.card_shipping;How long before I get my new card
credit_card.card_shipping;Will I receive it in  the next few days
credit_card.card_shipping;Can I get it any quicker
credit_card.card_shipping;How long am I expecting to wait
credit_card.card_shipping;when will I receive the new card
credit_card.card_shipping;will it be mailed straight a way
credit_card.card_shipping;will it come in the mail
credit_card.card_shipping;how many days will I need to wait
credit_card.card_shipping;will it arrive  this week
credit_card.card_shipping;when will my new card arrive
credit_card.card_shipping;when will it be delivered
credit_card.card_shipping;can you send it fast
credit_card.card_shipping;can you send it quickly
credit_card.card_shipping;can you expedite it
credit_card.card_shipping;how long will I be without a card
credit_card.card_shipping;when can I expect my new card
credit_card.card_shipping;what's the shipping speed
credit_card.card_shipping;what's the shipping method
credit_card.card_shipping;when will it arrive
credit_card.card_shipping;how long does it usually take
credit_card.card_shipping;how fast do you ship
credit_card.card_shipping;how long until my new card arrives
