intent;utterance
phone_plan.includes_mms;Do sending images and pictures work with  this  plan?
phone_plan.includes_mms;Would the TIFF picture images be included along with this?
phone_plan.includes_mms;Would this plan include MMS too?
phone_plan.includes_mms;Would you mind checking if this plan includes MMS?
phone_plan.includes_mms;Does images work with this plan?
phone_plan.includes_mms;Does this plan have MMS?
phone_plan.includes_mms;Do you include MMS?
phone_plan.includes_mms;Are the other image formats included in the plan?
phone_plan.includes_mms; TIFF formats ?
phone_plan.includes_mms; PNG
phone_plan.includes_mms;Will that include JPG
phone_plan.includes_mms;Can I be able to include images as well?
phone_plan.includes_mms; Are they included?
phone_plan.includes_mms;What about picture messages
phone_plan.includes_mms; free?
phone_plan.includes_mms;MMS messages
phone_plan.includes_mms;Are receiving GIF images along with text free?
phone_plan.includes_mms;Does the plan include TIFF images?
phone_plan.includes_mms;Are PNG images free?
phone_plan.includes_mms;Does the plan include JPG messages?
phone_plan.includes_mms;Are receiving jpg images free?
phone_plan.includes_mms;Does the plan include MMS?
phone_plan.includes_mms;Are MMS free?
phone_plan.includes_mms;Are images free?
phone_plan.includes_mms;are receiving images along with text free?
phone_plan.includes_mms;picture messages, is it free?
phone_plan.includes_mms;Does the plan include pictures messages?
phone_plan.includes_mms;What about mms, is that included?
phone_plan.includes_mms;if i receive pictures or images with the text messages are those also free?
phone_plan.includes_sms;What about SMS for my  phone ?
phone_plan.includes_sms;How about sending/ receiving texts?
phone_plan.includes_sms;Could you include SMS in my phone?
phone_plan.includes_sms;How about texting option?
phone_plan.includes_sms;Could you also enable SMS?
phone_plan.includes_sms;Are there any SMS limitations for my phone?
phone_plan.includes_sms;Are there any limitations to texting?
phone_plan.includes_sms;Does my phone have the ability to send/ receive texts?
phone_plan.includes_sms;Please enable SMS for my phone.
phone_plan.includes_sms;Please include SMS to my plan.
phone_plan.includes_sms;How about SMS?
phone_plan.includes_sms;Does my plan include sending texts to or receiving texts from any number?
phone_plan.includes_sms;Does my plan include SMS?
phone_plan.includes_sms;Would you please confirm if this covers sms also?
phone_plan.includes_sms;I think this plan covers the sms also. Am I right?
phone_plan.includes_sms;Will I get to send sms under this plan?
phone_plan.includes_sms;Does this apply to sms?
phone_plan.includes_sms;Wondering if I get to send text messages for free in this plan.
phone_plan.includes_sms;Are the messages included in this plan?
phone_plan.includes_sms;Is sending messages free in this plan?
phone_plan.includes_sms;Can I send a message for no extra cost?
phone_plan.includes_sms;Does that include texting?
phone_plan.includes_sms;Is SMS included?
phone_plan.includes_sms;What about texting?
phone_plan.includes_sms;Are texts included?
bill_reduction.other_options;I want another alternative.
bill_reduction.other_options;Is there any other alternative?
bill_reduction.other_options;Are there any alternatives available?
bill_reduction.other_options;Please tell me the other options.
bill_reduction.other_options;What are the other options?
bill_reduction.other_options;Other Options?
bill_reduction.other_options;Tell me about the other options.
