intent;utterance
flights.flight_book;I'd like to buy I a ticket
flights.flight_book;i want to book a ticket
flights.flight_book;I want to book a ticket for my mother, she's coming here from  Moscow   DME
flights.flight_book;Are there any direct flights from  SFO  to  Paris CDG ?
flights.flight_book;I tried to book a ticket online, but your system is stupid. Can you book it for me?
flights.flight_book;Please book a flight for me and my husband to go to  EWR   New York  on 5 July
flights.flight_book;I need a direct flight to  Miami   MIA  in August
flights.flight_book;I want to fly to  Moscow   DME  in a week
flights.flight_book;will you set up my ticket from  Toronto    YYZ  to  San Jose    SJC  from May 20th to June 20th? thanks
flights.flight_book;I need a new ticket to  Joberg   JNB
flights.flight_book;Can you book my flight to  San Francisco   next month ?
flights.flight_book;I want to use my reward points to book a ticket to  Milan   MXP  in October
flights.flight_book;Four business class tickes from  Taiwan  to  Dubai  from June 2nd to 30th
flights.flight_book;My sister wants to go to  Paris     ORY    for her birthday in March. We need two first class tickets please.
flights.flight_book;Can you help me book a flight? I don't understand the online sustem. Please help. I wasted almost  30 mins  and did nothing.
flights.flight_book;I need a flight next saturday to  LAX  from  NGO
flights.flight_book;Book  SFO  10am to  MIA  on August 10th, 2020 
flights.flight_book;I want to attend a conference in  Miami  Next June. Help me book a ticket for June 5th to 10th, 2020 please
flights.flight_book;So, I need to plan a surprise birthday party for my mom and she wants to fly to  Cabo  in June, but I can't let her know about the surprise. Can you help me buy a ticket in both of our names? Again, I cant let her now anything about the ticket.
flights.flight_book;Help me buy my ticket
flights.flight_book;What are the flights from  New York    JFK  to  San Francisco   SFO  next month?
flights.flight_book;Hi, can you find me the cheapest ticket to  Jamaica  for Christmas?
flights.flight_book;Dude, my browser won't book the ticket I want!
flights.flight_book;Buy a ticket for  the Fourth of July weekend  holiday
flights.flight_book;I want to book a flight
flights.flight_book;Good Morning! I need to find a flight to  Boston  next weekend from  BOS
flights.flight_book;Can you help me book a flight
flights.flight_book;I need to book a flight, but I can't
flights.one_way_ticket;one way to  Denver
flights.one_way_ticket;get me a ticket one way to  JFK
flights.one_way_ticket;i want to book a one way ticket
flights.one_way_ticket;i want to book a one-way ticket
flights.one_way_ticket;i want to book a  one  ticket
flights.one_way_ticket;do you sell one way tickets to  Entebbe
flights.one_way_ticket;can i get a  one  way ticket to  london
flights.one_way_ticket;give me the  one  way please
flights.one_way_ticket;just a  one  way
flights.one_way_ticket;one  way ticket to  chicago  please
flights.one_way_ticket;i want to book a  one  way ticket to idaho
flights.one_way_ticket;can you get me a  one  way ticket to  Miami
flights.one_way_ticket;I'd like to buy a single ticket
flights.one_way_ticket;I'd like to buy I a  one -way ticket to  Singapore , please.
flights.one_way_ticket;one way ticket
flights.one_way_ticket;a  one  way ticket
flights.one_way_ticket;want a  one  way ticket
flights.one_way_ticket;no a  one  way ticket
flights.one_way_ticket;i want a  one  way ticket
flights.one_way_ticket;just  one  way
flights.animals_on_board;can I bring a goat?
flights.animals_on_board;What is the size of anumal I can bring on the plane with me?
flights.animals_on_board;Tell me about the service anmal policy
flights.animals_on_board;I need some information about support anumals on a plane
flights.animals_on_board;I have a support bird. Are birds allowed on the plane
flights.animals_on_board;Can my dog sit on the seat?
flights.animals_on_board;If i have a support bird, can I keeo the cage on a seat next to me?
flights.animals_on_board;What are the rules for a pet on the airplane What is the service animal policy?
flights.animals_on_board;What about fish? Can I bring my pet fish with me?
flights.animals_on_board;Is there an extra charge to fly with my support pet?
flights.animals_on_board;Is my cat allowed on board? 
flights.animals_on_board;Can she sit in my lap during the flight?
flights.animals_on_board;I have a small lap dog.
flights.animals_on_board;How much do I pay to bring my pet on the plane?
flights.animals_on_board;Do you allow animals on the plane?
flights.animals_on_board;Do I need to bring a certificate for my emotional support animal?
flights.animals_on_board;Can I bring my pet on the plant, or are service dogs only allowed?
flights.animals_on_board;Can I bring my dog?
flights.animals_on_board;Are support cats allowed?
flights.animals_on_board;Are support animals allowed on the flight?
flights.animals_on_board;Are service dogs allowed on the flight?
flights.round_trip_ticket;My family is visiting our grandmother in  September  and we need  6  round trip tickets.
flights.round_trip_ticket;round trip
flights.round_trip_ticket;just round trip ticket
flights.round_trip_ticket;i want  a  round trip ticket
flights.round_trip_ticket;want round trip ticket
flights.round_trip_ticket;want  a  round trip ticket
flights.round_trip_ticket;a  round trip ticket
flights.round_trip_ticket;round trip ticket
flights.round_trip_ticket;I'd like to buy I  a  round trip ticket to  Barcelona  please.
flights.round_trip_ticket;I'd like to buy  a  double ticket
flights.round_trip_ticket;can you get me a round trip ticket to  San Diego
flights.round_trip_ticket;i want to book  a  round trip ticket to idaho
flights.round_trip_ticket;round trip ticket to  chicago  please
flights.round_trip_ticket;just  a  round trip
flights.round_trip_ticket;give me the round trip please
flights.round_trip_ticket;can i get  a  round trip ticket to  london
flights.round_trip_ticket;do you sell round trip tickets to  Entebbe
flights.frequent_flyer_club_join;do I get any bonuses when I join the club?
flights.frequent_flyer_club_join;Do you have a program to collect ponts for each flight I do
flights.frequent_flyer_club_join;can i join frequent flyer in this chat
flights.frequent_flyer_club_join;what are the rules for joining frequent flyer. can i sign up here
flights.frequent_flyer_club_join;what's the program for earning points for each flight
flights.frequent_flyer_club_join;help me earn points on my flights
flights.frequent_flyer_club_join;i need a frequent flyer number. can you help me with that
flights.frequent_flyer_club_join;frequent flyer. i want to earn points
flights.frequent_flyer_club_join;sign me up for frequent flyer
flights.frequent_flyer_club_join;how does frequent flyer work
flights.frequent_flyer_club_join;does this airling have a frequent flyer club
flights.frequent_flyer_club_join;if i wanted to join a frequent flyer club, how could i do that
flights.frequent_flyer_club_join;tell me about the frequent flyer club
flights.frequent_flyer_club_join;is there a frequent flyer club
flights.frequent_flyer_club_join;do you guys have a frequent flyer clun to join
flights.frequent_flyer_club_join;how can I join the frequent flyer club
flights.frequent_flyer_club_join;I want to joint the frequent flyer club
flights.masks_on_airplanes;What about masks. Will you give me a free one on my flight  next week ?
flights.masks_on_airplanes;Is your airline following the CDC rules on masks?
flights.masks_on_airplanes;Do passengers getr a free mask?
flights.masks_on_airplanes;Do I have to pay for a mask to get on the flight?
flights.masks_on_airplanes;Did the your airline opt to follow CDC rules regarding masks
flights.masks_on_airplanes;Are flight attendants giving masks away on board?
flights.masks_on_airplanes;Will I get a free surgical mask on the flight?
flights.masks_on_airplanes;What is the mask policy for your airline?
flights.masks_on_airplanes;Do children need masks on the plane?
flights.masks_on_airplanes;Can I use a cloth mask?
flights.masks_on_airplanes;Do I need an N -95  mask to fly?
flights.masks_on_airplanes;Is a free mask included with my ticket?
flights.masks_on_airplanes;Can I get a mask on the flight?
flights.masks_on_airplanes;Do you provide a mask for passengers?
flights.masks_on_airplanes;Are you giving away masks on the flight?
flights.masks_on_airplanes;Will I get a mask on the flight?
flights.masks_on_airplanes;Should I bring a mask on the flight with me?
flights.masks_on_airplanes;Should my kids wear a mask on the plane? 
flights.masks_on_airplanes;Did the CDC require masks on airline flights?
flights.masks_on_airplanes;Are mask required to fly now?
flights.masks_on_airplanes;Do I need to wear a mask to fly?
flights.customer_service;talk to a representative please
flights.customer_service;Can I talk to a representative
flights.customer_service;Can I talk to a representative please
flights.customer_service;transition me to a customer helper
flights.customer_service;transfer me to a real person
flights.customer_service;can i talk to someone this isn't working
flights.customer_service;please representative talk to human this is frustrating,
flights.customer_service;redirect me to customer service
flights.customer_service;please redirect me to a representative
flights.customer_service;real person
flights.customer_service;real human operator please transfer me
flights.customer_service;manager no robots
flights.customer_service;live  rep please
flights.customer_service;live  human now please
